,SIM_AV,SIM_DEC,SIM_DLMU,SIM_EXPOSURE_g,SIM_EXPOSURE_i,SIM_EXPOSURE_r,SIM_HOSTLIB_GALID,SIM_LENSDMU,SIM_LIBID,SIM_MAGSMEAR_COH,SIM_MODEL_INDEX,SIM_MODEL_NAME,SIM_MWEBV,SIM_NGEN_LIBID,SIM_NOBS_UNDEFINED,SIM_PEAKMAG_g,SIM_PEAKMAG_i,SIM_PEAKMAG_r,SIM_PEAKMJD,SIM_RA,SIM_REDSHIFT_CMB,SIM_REDSHIFT_FLAG,SIM_REDSHIFT_HELIO,SIM_REDSHIFT_HOST,SIM_RV,SIM_SEARCHEFF_MASK,SIM_SUBSAMPLE_INDEX,SIM_TEMPLATE_INDEX,SIM_TYPE_INDEX,SIM_TYPE_NAME,SIM_VPEC,delta_t_g,delta_t_i,delta_t_r,fluxcal_g,fluxcal_i,fluxcal_r,fluxcalerr_g,fluxcalerr_i,fluxcalerr_r,host_photoz,host_specz,libid,mag_g,mag_i,mag_r,magerr_g,magerr_i,magerr_r,magobs_g,magobs_i,magobs_r,median_delta_t_g,median_delta_t_i,median_delta_t_r,mjd_g,mjd_i,mjd_r,photflag_g,photflag_i,photflag_r,photprob_g,photprob_i,photprob_r,pkmag_g,pkmag_i,pkmag_r,pkmjd,psf_sig1_g,psf_sig1_i,psf_sig1_r,sky_sig_g,sky_sig_i,sky_sig_r,snid,snr_g,snr_i,snr_r,z,zeropt_g,zeropt_i,zeropt_r,offset,logprob,true_label,skymap_filename,area_fifty,area_ninety,costheta,mej
0,-9,44.16049957,34.31633377,1,1,1,-9,0,2403,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.045703351,1,0,99,-9,99,58257.38281,314.7407227,0.016824963,1,0.016818101,0.016818101,-9,3,-9,422,0,UNKNOWN ,-253.3283081,"[0.0009400000053574331, 2.995169999994687, 0.9736600000032922, 0.0009300000019720756, 1.002889999996114, 0.0009300000019720756, 3.0203399999954854, 0.0014700000028824434, 1.0010499999989406, 0.00046999999904073775, 0.9936600000000908, 0.006789999999455176, 0.9752599999992526, 0.03041000000666827, 0.975719999994908, 0.023710000001301523, 0.9889000000039232, 0.9396099999939906, 0.02290999999968335, 1.0352200000052107, 0.000990000000456348, 0.9377299999978277, 0.0009399999980814755, 1.0458399999988615, 0.00046999999904073775, 0.9622500000041327, 0.00044999999954598024]",[],"[0.000959999997576233, 0.04080000000249129, 0.0004600000029313378, 0.97103000000061, 0.006729999993694946, 0.9955100000006496, 2.9397200000021257, 0.0004600000029313378, 1.0386599999983446, 0.0024399999965680763, 2.934240000002319, 0.0004600000029313378, 1.0186800000010408, 1.0742799999934505, 0.00047000000631669536, 0.9673899999979767, 0.0004599999956553802, 1.0087100000018836, 0.0009500000014668331, 1.019059999998717, 0.0009399999980814755, 1.0030299999998533, 0.015640000005078036, 0.9490599999990081, 0.0009399999980814755, 1.0480499999976018, 0.00045000000682193786, 0.933919999995851, 0.001870000000053551, 1.0465400000030058]",[3325.235 3063.252],[],[7238.212  7452.3584 3794.9363],[76.97992 93.04233],[],[127.58616 112.74259 150.80801],-9,-9,2403,[18.695444 18.784542],[],[17.850922 17.819265 18.551989],[0.02514114 0.03298585],[],[0.01914265 0.01642949 0.04315685],0.93773,,0.48736,0.93773,,0.48736,[58258.47315 58258.47409],[],[58258.44516 58258.45189 58259.4474 ],[6144 4096],[],[4096 4096 4096],[],[],[],99,-9,99,58257.38281,[],[],[],[],[],[],2404,[0.02315022 0.03037371],[],[0.01762675 0.01512844 0.03973927],0.016818101,[],[],[],0.268765573,3.306179181,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/0.fits,0.160719898,0.536858349,0.800000012,0.050000001
1,-9,12.28256035,33.94736481,1,1,1,-9,0,4092,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.011529085,1,0,99,-9,99,58312.59766,30.17116928,0.014217637,1,0.014655613,0.014655613,-9,3,-9,415,0,UNKNOWN ,-145.5496521,"[5.969629999999597, 3.0286200000045937, 2.9788300000000163]",[],"[3.0371500000037486, 2.999039999995148, 3.0219600000054925]",[998.3263],[],[1856.3533],[68.62967],[],[99.11092],-9,-9,4092,[20.00182],[],[19.328348],[0.07465677],[],[0.05798167],3.02862,,3.02196,3.02862,,3.02196,[58313.4649],[],[58313.42707],[6144],[],[4096],[],[],[],99,-9,99,58312.59766,[],[],[],[],[],[],4093,[0.06874473],[],[0.05339012],0.014655613,[],[],[],0.948658786,3.166553109,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/1.fits,0.42681729,1.425033493,0.800000012,0.029999999
2,-9,-0.182229996,34.20142365,1,1,1,-9,0,5296,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.021643961,1,0,99,-9,99,58731.89063,24.0441494,0.015964042,1,0.016219527,0.016219527,-9,3,-9,162,0,UNKNOWN ,-220.8782196,[13.85786999999982],[],"[3.0329599999968195, 2.9422300000005635, 5.000959999997576, 3.0202300000019022, 2.9157500000001164]",[644.94666],[],[1983.5468],[55.95712],[],[68.83449],-9,-9,5296,[20.47619],[],[19.256393],[0.09422396],[],[0.03768716],13.85787,,3.02023,13.85787,,3.02023,[58733.45716],[],[58733.40284],[6144],[],[4096],[],[],[],99,-9,99,58731.89063,[],[],[],[],[],[],5297,[0.0867624],[],[0.03470273],0.016219527,[],[],[],1.228851973,2.737278371,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/2.fits,3.421114659,11.434209,0.300000012,0.029999999
3,-9,65.35372162,36.61911011,1,1,1,-9,0,7148,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.068242721,1,0,99,-9,99,58676.33203,265.0626221,0.047530223,1,0.046753325,0.046753325,-9,3,-9,121,0,UNKNOWN ,-281.9065857,"[0.026550000002316665, 0.928859999999986, 0.000919999998586718, 1.0209600000016508, 0.0004899999985354953, 0.8859400000001187, 0.01683999999659136, 0.9965400000000955, 0.004189999999653082, 0.9783400000014808, 0.018970000004628673, 1.075989999997546, 0.002410000000963919, 0.9876299999959883, 0.002400000004854519, 1.0960699999995995, 0.002419999997073319, 2.9380099999980303, 0.027210000000195578, 4.931459999999788, 0.003740000000107102, 2.0394500000038533, 0.002419999997073319, 0.9988799999991897]",[],"[0.04852000000391854, 0.9406499999968219, 0.01735000000189757, 0.9978100000007544, 0.000910000002477318, 1.041879999997036, 0.0005000000019208528, 0.9767900000006193, 0.025069999996048864, 0.9767100000026403, 0.018749999995634425, 0.9405600000027334, 0.002410000000963919, 0.025809999999182764, 0.002419999997073319, 0.9878100000059931, 0.0024099999936879613, 1.0990100000053644, 0.002419999997073319, 3.0448299999989104, 0.0018100000015692785, 1.9599999999991269, 0.000919999998586718, 0.8534199999994598, 0.002780000002530869, 1.1236300000018673, 0.017619999998714775, 0.8697499999980209, 0.0018500000005587935, 0.9838799999997718, 0.0018500000005587935, 2.074670000001788, 0.002410000000963919]",[],[],[529.34143 651.5352 ],[],[],[82.953255 83.65201 ],-9,-9,7148,[],[],[20.69066  20.465155],[],[],[0.17018738 0.13943386],0.456575,,0.02581,0.456575,,0.02581,[],[],[58677.23398 58677.2825 ],[],[],[4096 6144],[],[],[],99,-9,99,58676.33203,[],[],[],[],[],[],7149,[],[],[0.1567103  0.12839215],0.046753325,[],[],[],4.788869401,1.746443033,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/3.fits,37.34638528,195.177825,0.200000003,0.050000001
4,-9,34.76887894,35.64718628,1,1,1,-9,0,8399,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.023978222,1,0,99,-9,99,58480.30469,55.54391861,0.030774379,1,0.029348604,0.029348604,-9,3,-9,513,0,UNKNOWN ,-554.8598022,"[1.861399999994319, 5.0475900000019465, 5.011830000003101]",[],"[0.8802200000063749, 3.944899999994959, 4.029740000005404, 2.9665699999968638]",[741.9222],[],[1340.4642],[106.70811],[],[152.68307],-9,-9,8399,[20.324104],[],[19.681862],[0.15619563],[],[0.1236988],5.01183,,3.455735,5.01183,,3.455735,[58481.27535],[],[58481.3161],[4096],[],[6144],[],[],[],99,-9,99,58480.30469,[],[],[],[],[],[],8400,[0.14382654],[],[0.11390314],0.029348604,[],[],[],0.619406115,3.036424827,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/4.fits,0.744392956,2.618564504,1,0.029999999
5,-9,-5.15004015,35.76604462,1,1,1,-9,0,8619,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.025913578,1,0,99,-9,99,58373.39453,308.913208,0.032409165,1,0.032805119,0.032805119,-9,3,-9,519,0,UNKNOWN ,-164.8567505,"[0.9603600000045844, 2.0249299999995856, 1.0415500000017346, 1.8716899999999441, 3.0207200000004377, 2.999129999996512, 1.051899999998568, 1.928090000001248, 0.9794200000033015]",[],"[1.000980000004347, 2.1061899999986053, 0.9569199999968987, 2.01423000000068, 3.943070000001171, 2.05916000000434, 0.8988599999938742]",[],[],[954.87256 560.1724 ],[],[],[85.42865 75.70263],-9,-9,8619,[],[],[20.050137 20.629196],[],[],[0.09716009 0.14676383],1.87169,,2.01423,1.87169,,2.01423,[],[],[58374.16731 58375.16829],[],[],[4096 6144],[],[],[],99,-9,99,58373.39453,[],[],[],[],[],[],8620,[],[],[0.08946602 0.13514166],0.032805119,[],[],[],0.662595542,2.742091638,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/5.fits,3.283577045,12.52451942,1,0.039999999
6,-9,36.06534958,35.61725998,1,1,1,-9,0,9045,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.045625877,1,0,99,-9,99,58640.38672,270.6570435,0.030348033,1,0.029421024,0.029421024,-9,3,-9,522,0,UNKNOWN ,-361.2378235,"[0.19551000000501517, 2.9230099999986123, 0.0006900000007590279, 3.013539999999921, 0.02320999999938067, 3.051999999996042, 0.0004600000029313378, 2.8968299999978626, 0.030380000003788155, 3.869109999999637]",[],"[0.00046999999904073775, 2.9165700000012293, 0.0013800000015180558, 2.9842999999964377, 0.00046999999904073775, 3.0183300000062445, 0.0004599999956553802, 3.0746799999978975, 0.0004600000029313378, 3.980840000003809, 0.0013699999981326982]",[1278.6404 1233.6198],[],[2731.2043 2808.0557],[80.23398  49.050865],[],[67.398895 67.24438 ],-9,-9,9045,[19.73313  19.772047],[],[18.909115 18.878986],[0.06814589 0.04318124],[],[0.0267996  0.02600639],1.54617,,0.00138,1.54617,,0.00138,[58641.23542 58641.43093],[],[58641.40584 58641.40631],[4096 4096],[],[6144 4096],[],[],[],99,-9,99,58640.38672,[],[],[],[],[],[],9046,[0.06274945 0.03976174],[],[0.02467735 0.02394695],0.029421024,[],[],[],0.521794416,3.320942284,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/6.fits,0.674529435,2.401379607,1,0.050000001
7,-9,36.89519119,36.10422134,1,1,1,-9,0,2245,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.092664577,1,0,99,-9,99,58281.21094,313.5110779,0.037674207,1,0.039449822,0.039449822,-9,3,-9,511,0,UNKNOWN ,243.7764587,"[0.0015099999945960008, 0.9997800000055577, 1.0267499999972642, 3.000350000002072, 0.9716599999956088, 0.0019500000053085387, 1.0320599999977276, 0.976040000001376, 1.014049999997951, 0.02291999999579275, 0.9762100000007194, 1.0017600000064704, 1.0314199999993434, 0.9893599999995786, 0.006379999998898711, 2.006249999998545, 0.9887999999991735, 0.010269999998854473, 1.0188899999993737, 0.975880000005418, 0.9930800000001909]",[],"[0.0029299999951035716, 1.0023700000019744, 0.9378300000025774, 2.0213799999983166, 2.031750000001921, 0.005310000000463333, 1.0044100000013714, 0.9974999999976717, 0.9298300000009476, 0.0033599999951547943, 1.0932700000048499, 0.9890699999959907, 1.0123700000040117, 0.9849199999953271, 0.0024200000043492764, 0.885999999998603, 0.9843400000027032, 2.089239999993879, 0.9854500000001281, 0.9868600000045262, 0.0015300000013667159]",[366.594],[],[1157.4408],[72.972916],[],[86.70069],-9,-9,2245,[21.089537],[],[19.841253],[0.21617535],[],[0.08134925],0.98936,,0.98545,0.98936,,0.98545,[58282.40252],[],[58282.45295],[4096],[],[6144],[],[],[],99,-9,99,58281.21094,[],[],[],[],[],[],12246,[0.19905649],[],[0.07490724],0.039449822,[],[],[],0.324173961,3.192875158,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/7.fits,1.279886815,5.172010335,1,0.029999999
8,-9,75.49410248,34.57879639,1,1,1,-9,0,2449,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.009709436,1,0,99,-9,99,58750.08984,232.2164459,0.018995654,1,0.016833035,0.016833035,-9,3,-9,361,0,UNKNOWN ,-639.6337891,"[0.0018500000005587935, 0.9957900000008522, 0.0018500000005587935, 2.9978100000007544, 0.001849999993282836, 4.008260000002338, 1.9928900000013527, 0.9990099999995437, 0.9991799999988871, 1.001349999998638, 0.9913200000009965, 1.0007000000041444, 0.9985699999961071, 0.9975000000049477, 1.0005899999960093]",[],"[0.003550000001268927, 0.9957900000008522, 0.0018500000005587935, 2.9977599999983795, 0.001860000003944151, 4.007079999995767, 0.001860000003944151, 1.9906199999968521, 0.0018500000005587935, 0.9971299999961047, 0.0018500000005587935, 0.9978699999992386, 0.0018500000005587935, 0.9994100000039907, 0.0018500000005587935, 0.985289999996894, 0.9772100000045612, 0.024679999994987156, 0.9985300000043935, 1.0001799999954528, 0.9848100000017439, 0.015400000003864989, 1.0013099999996484]",[2281.1116 2378.0203],[],[4768.862  5116.1455],[140.07512  95.22445],[],[148.7073  113.68343],-9,-9,2449,[19.104633 19.059462],[],[18.303963 18.227642],[0.06668748 0.04348733],[],[0.03386471 0.02413149],0.99901,,0.98481,0.99901,,0.98481,[58751.17792 58751.17977],[],[58751.14946 58751.15131],[6144 4096],[],[4096 4096],[],[],[],99,-9,99,58750.08984,[],[],[],[],[],[],12450,[0.06140652 0.04004358],[],[0.03118298 0.02222052],0.016833035,[],[],[],0.152543411,4.05169279,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/8.fits,0.138095476,0.468207796,0.699999988,0.029999999
9,-9,3.973279953,34.32292175,1,1,1,-9,0,3628,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.033137627,1,0,99,-9,99,58685.10938,316.6359253,0.016840454,1,0.018972082,0.018972082,-9,3,-9,266,0,UNKNOWN ,312.1502686,"[3.010040000001027, 2.999129999996512]",[],"[3.00792999999976, 2.997980000000098, 2.965810000001511, 3.036439999996219]",[],[],[1969.8002  930.2921],[],[],[135.30156  72.30734],-9,-9,3628,[],[],[19.263945 20.078451],[],[],[0.07459512 0.0844098 ],3.004585,,3.002955,3.004585,,3.002955,[],[],[58685.38753 58688.39546],[],[],[4096 6144],[],[],[],99,-9,99,58685.10938,[],[],[],[],[],[],13629,[],[],[0.06868796 0.07772542],0.018972082,[],[],[],0.240744927,3.100122572,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/9.fits,1.81584455,6.899135082,0.5,0.039999999
